Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2001,Jesus Sanchez,Marlins,17,19,0,2,1,0,0.00%,15.80%,0,0.286,0.235,0.235,0.235,0.209,22,0,-1.9,2.1,0.1,1476
2009,Rich Harden,Cubs,27,48,0,3,0,0,2.10%,31.30%,0.023,0.286,0.186,0.205,0.209,0.187,-2,0,-6,5.2,0.1,1772
2002,Jeff Suppan,Royals,33,5,0,0,0,0,20.00%,20.00%,0,0,0,0.5,0,0.352,109,0,0.1,0.5,0.1,633
2000,Brian Williams,Cubs,22,2,0,0,1,0,0.00%,0.00%,0.5,0.5,0.5,0.5,1,0.622,278,0,0.5,0.2,0.1,1013978
2000,Sean Bergman,Twins,15,2,0,0,0,0,0.00%,50.00%,0.5,1,0.5,0.5,1,0.622,275,0,0.5,0.2,0.1,1000881
2008,Kevin Slowey,Twins,28,8,0,1,2,0,0.00%,12.50%,0.125,0.286,0.25,0.25,0.375,0.269,60,0,-0.4,0.8,0.1,9918
2009,Will Ohman,Dodgers,21,3,0,0,1,0,0.00%,33.30%,0,1,0.5,0.5,0.5,0.447,180,0,0.3,0.3,0.1,296
2008,Greg Smith,Athletics,32,3,0,0,0,0,0.00%,33.30%,0,1,0.5,0.5,0.5,0.448,181,0,0.3,0.3,0.1,3455
2009,Joel Pineiro,Cardinals,33,79,0,4,4,1,5.10%,41.80%,0.03,0.273,0.136,0.186,0.167,0.166,-9,0.2,-10.4,8.6,0.1,1094
2007,Brian Burres,Orioles,37,3,0,0,1,0,0.00%,33.30%,0,1,0.5,0.5,0.5,0.448,176,0,0.3,0.3,0.1,3425
2001,Brian Reith,Reds,9,12,0,0,2,1,0.00%,33.30%,0,0.375,0.25,0.25,0.25,0.222,25,0.2,-1,1.3,0.1,347
2008,Buddy Carlyle,Braves,45,10,0,1,0,0,10.00%,10.00%,0,0.25,0.222,0.3,0.222,0.25,46,0,-0.7,1.1,0.1,2010
2003,A.J. Burnett,Marlins,4,9,0,0,0,0,22.20%,33.30%,0,0.25,0.143,0.333,0.143,0.256,52,0,-0.6,1,0.1,512
2000,John Halama,Mariners,30,3,0,0,0,0,0.00%,33.30%,0,1,0.5,0.5,0.5,0.45,171,0,0.3,0.3,0.1,1080
2005,Lance Cormier,Diamondbacks,67,7,0,0,1,0,0.00%,14.30%,0,0.4,0.333,0.333,0.333,0.297,71,0,-0.3,0.7,0.1,4346
2005,Roy Oswalt,Astros,35,83,0,1,2,0,2.40%,22.90%,0,0.241,0.178,0.211,0.178,0.18,0,0,-10.5,8.4,0.1,571
2000,Gil Heredia,Athletics,32,3,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.45,169,0,0.3,0.3,0.1,1005686
2003,Jose Lima,Royals,14,3,0,1,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.446,171,0,0.3,0.3,0.1,475
2001,Chuck Smith,Marlins,15,29,0,1,3,0,3.40%,27.60%,0,0.278,0.192,0.222,0.192,0.19,10,0,-3.4,3.1,0.1,1012114
2004,Brandon Duckworth,Astros,19,10,0,1,1,0,10.00%,20.00%,0,0.286,0.222,0.3,0.222,0.249,41,0,-0.8,1.1,0.1,954
2007,J.P. Howell,Devil Rays,10,6,0,1,1,0,0.00%,33.30%,0,0.5,0.333,0.333,0.333,0.299,78,0,-0.2,0.6,0.1,8245
2008,James Shields,Rays,34,5,0,2,1,0,20.00%,0.00%,0,0.25,0.25,0.4,0.25,0.321,95,0,0,0.5,0.1,7059
2004,Josh Beckett,Marlins,26,55,0,2,2,0,3.60%,32.70%,0.023,0.269,0.159,0.196,0.182,0.174,-2,0,-7.3,6.1,0.1,510
2003,Kyle Lohse,Twins,33,6,0,0,0,0,0.00%,16.70%,0,0.5,0.333,0.333,0.333,0.297,77,0,-0.2,0.6,0.1,739
2006,Francisco Liriano,Twins,28,7,0,0,1,0,14.30%,42.90%,0,0.5,0.2,0.333,0.2,0.266,56,0,-0.4,0.8,0.1,3201
2001,Andy Benes,Cardinals,27,35,0,1,4,0,2.90%,42.90%,0.094,0.294,0.156,0.182,0.25,0.188,7,0,-4.3,3.8,0.1,1144
2009,Jeff Fulchino,Astros,61,3,0,0,0,0,0.00%,0.00%,0.333,0.333,0.333,0.333,0.667,0.419,160,0,0.2,0.3,0.1,3532
2004,Wayne Franklin,Giants,43,5,0,2,2,0,20.00%,0.00%,0,0.25,0.333,0.4,0.333,0.32,90,0,-0.1,0.6,0.1,557
2007,Clay Hensley,Padres,13,16,0,0,2,1,0.00%,50.00%,0,0.5,0.214,0.214,0.214,0.192,14,0.2,-1.6,1.7,0.1,4593
2003,Cory Lidle,Blue Jays,31,6,0,1,0,0,0.00%,0.00%,0,0.333,0.333,0.333,0.333,0.297,74,0,-0.2,0.6,0.1,926
2007,Joe Kennedy,Athletics,27,3,0,1,2,0,0.00%,0.00%,0.333,0.333,0.333,0.333,0.667,0.418,159,0,0.2,0.3,0.1,1217
2002,Sidney Ponson,Orioles,28,3,0,1,0,0,0.00%,33.30%,0.333,0.5,0.333,0.333,0.667,0.418,162,0,0.2,0.3,0.1,161
2003,Jaret Wright,Padres,39,5,0,0,0,0,0.00%,40.00%,0.25,0.5,0.25,0.25,0.5,0.312,92,0,-0.1,0.5,0.1,415
2003,Rick Helling,- - -,35,3,0,0,0,0,0.00%,33.30%,0.333,0.5,0.333,0.333,0.667,0.416,162,0,0.2,0.3,0.1,58
2001,Roy Oswalt,Astros,28,51,0,3,3,0,2.00%,23.50%,0.021,0.257,0.191,0.208,0.213,0.188,2,0,-6.6,5.5,0.1,571
2001,Ryan Rupe,Devil Rays,28,3,0,1,0,0,0.00%,33.30%,0.333,0.5,0.333,0.333,0.667,0.414,157,0,0.2,0.3,0.1,1223
2002,Andy Pettitte,Yankees,22,3,0,0,1,0,0.00%,33.30%,0.333,0.5,0.333,0.333,0.667,0.418,161,0,0.2,0.3,0.1,840
2008,Sean Burnett,Pirates,58,3,0,1,0,0,0.00%,66.70%,0.333,1,0.333,0.333,0.667,0.42,157,0,0.2,0.3,0.1,1886
2008,Matt Palmer,Giants,3,5,0,0,0,0,20.00%,40.00%,0,0.5,0.25,0.4,0.25,0.321,91,0,-0.1,0.5,0.1,4457
2002,Will Cunnane,Cubs,16,5,0,2,0,0,20.00%,0.00%,0,0.25,0.25,0.4,0.25,0.319,94,0,0,0.5,0.1,274
2007,John Van Benschoten,Pirates,11,10,0,1,0,0,10.00%,30.00%,0.143,0.25,0.143,0.25,0.286,0.246,41,0,-0.8,1.1,0.1,2228
2004,Duaner Sanchez,Dodgers,67,5,0,1,2,0,0.00%,20.00%,0.25,0.333,0.25,0.25,0.5,0.311,87,0,-0.1,0.6,0.1,1518
2007,Julian Tavarez,Red Sox,34,5,0,0,0,0,20.00%,60.00%,0,1,0.25,0.4,0.25,0.321,89,0,-0.1,0.5,0.1,541
2004,Javier Vazquez,Yankees,32,5,0,1,0,0,0.00%,0.00%,0.25,0.25,0.25,0.25,0.5,0.311,87,0,-0.1,0.6,0.1,801
2001,Giovanni Carrara,Dodgers,47,12,0,1,0,0,0.00%,16.70%,0,0.3,0.25,0.25,0.25,0.222,33,0,-1.1,1.3,0.1,643
2003,Hideo Nomo,Dodgers,33,74,1,4,3,0,4.10%,33.80%,0.062,0.205,0.138,0.176,0.2,0.171,-1,0,-9.6,7.8,0.1,666
2007,Paul Maholm,Pirates,29,62,0,4,5,0,1.60%,46.80%,0.017,0.367,0.186,0.2,0.203,0.182,0,0,-8.1,6.7,0.1,8678
2008,Clay Condrey,Phillies,56,3,0,1,0,0,0.00%,66.70%,0.333,1,0.333,0.333,0.667,0.42,155,0,0.2,0.3,0.1,1579
2001,Ricky Bottalico,Phillies,66,3,0,1,1,0,0.00%,0.00%,0.333,0.333,0.333,0.333,0.667,0.414,153,0,0.2,0.3,0.1,948
2007,Ramon Ortiz,- - -,38,5,0,1,1,0,20.00%,20.00%,0,0.333,0.25,0.4,0.25,0.321,97,0,-0.1,0.5,0.1,27
2002,Todd Ritchie,White Sox,27,5,0,1,0,0,20.00%,20.00%,0,0.333,0.25,0.4,0.25,0.319,90,0,-0.1,0.5,0.1,253
2000,Matt Morris,Cardinals,32,6,0,0,0,0,0.00%,16.70%,0,0.5,0.333,0.333,0.333,0.3,71,0,-0.2,0.7,0.1,1172
2006,Joe Mays,Reds,7,10,0,0,3,0,0.00%,40.00%,0.111,0.4,0.222,0.222,0.333,0.237,32,0,-0.9,1.2,0.1,740
2000,Steve Trachsel,Devil Rays,23,5,0,0,0,0,20.00%,20.00%,0,0.333,0.25,0.4,0.25,0.324,86,0,-0.1,0.6,0.1,898
2006,Scott Linebrink,Padres,73,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,468,0,0.5,0.1,0.1,564
2008,Renyel Pinto,Marlins,67,4,0,0,0,0,25.00%,25.00%,0,0,0,0.5,0,0.354,112,0,0.1,0.4,0.1,2180
2008,Charlie Haeger,Padres,4,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,477,0,0.5,0.1,0.1,3545
2009,Edward Mujica,Padres,67,10,0,1,0,0,0.00%,20.00%,0,0.333,0.25,0.25,0.25,0.224,35,0,-0.8,1.1,0.1,3970
2006,Travis Hughes,Nationals,8,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,464,0,0.5,0.1,0.1,2045
2009,Osiris Matos,Giants,5,1,0,0,1,0,0.00%,0.00%,0,1,1,1,1,0.895,480,0,0.5,0.1,0.1,4100
2005,Rich Hill,Cubs,10,6,0,1,0,0,0.00%,33.30%,0,0.5,0.333,0.333,0.333,0.297,73,0,-0.2,0.6,0.1,4806
2003,Steve Avery,Tigers,19,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.891,478,0,0.5,0.1,0.1,1706
2008,Bobby Korecky,Twins,16,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,479,0,0.5,0.1,0.1,4608
2009,Bud Norris,Astros,11,18,0,1,0,0,0.00%,22.20%,0,0.25,0.188,0.235,0.188,0.201,13,0,-1.9,2,0.1,9492
2006,Bruce Chen,Orioles,40,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,466,0,0.5,0.1,0.1,769
2003,Troy Brohawn,Dodgers,12,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.891,469,0,0.5,0.1,0.1,1110
2009,Dave Davidson,Marlins,1,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.895,476,0,0.5,0.1,0.1,4929
2002,Felix Rodriguez,Giants,71,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.892,474,0,0.5,0.1,0.1,1127
2002,Grant Roberts,Mets,34,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.892,473,0,0.5,0.1,0.1,894
2009,Danys Baez,Orioles,59,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.895,468,0,0.5,0.1,0.1,367
2004,Al Reyes,Cardinals,12,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,466,0,0.5,0.1,0.1,1005
2009,Jason Marquis,Rockies,38,75,0,7,8,0,2.70%,18.70%,0.047,0.22,0.172,0.197,0.219,0.187,-8,0,-9.9,8.1,0.1,105
2008,Tim Dillard,Brewers,13,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,470,0,0.5,0.1,0.1,5518
2003,Felix Rodriguez,Giants,68,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.891,466,0,0.5,0.1,0.1,1127
2005,Cliff Politte,White Sox,68,1,0,1,1,0,0.00%,0.00%,0,1,1,1,1,0.89,478,0,0.5,0.1,0.1,967
2001,Juan Rincon,Twins,4,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.887,472,0,0.5,0.1,0.1,752
2005,Chuck James,Braves,2,1,0,0,1,0,0.00%,0.00%,0,1,1,1,1,0.89,469,0,0.5,0.1,0.1,4886
2009,Jeff Weaver,Dodgers,28,15,0,1,0,0,0.00%,40.00%,0,0.429,0.231,0.231,0.231,0.206,18,0,-1.5,1.6,0.1,503
2003,Esteban Yan,Cardinals,39,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.891,465,0,0.5,0.1,0.1,1236
2003,Kevin Ohme,Cardinals,2,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.891,465,0,0.5,0.1,0.1,1687
2008,Tyler Clippard,Nationals,2,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,469,0,0.5,0.1,0.1,5640
2003,Pete Munro,Astros,40,4,0,0,0,0,25.00%,0.00%,0,0,0,0.5,0,0.353,110,0,0.1,0.4,0.1,1546
2006,Bob Howry,Cubs,84,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,457,0,0.5,0.1,0.1,237
2006,Will Ohman,Cubs,78,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,457,0,0.5,0.1,0.1,296
2004,Derek Lowe,Red Sox,33,5,0,0,1,0,0.00%,20.00%,0.25,0.333,0.25,0.25,0.5,0.311,82,0,-0.1,0.6,0.1,199
2005,Matt Wise,Brewers,49,1,0,0,1,0,0.00%,0.00%,0,1,1,1,1,0.89,466,0,0.5,0.1,0.1,42
2007,Brandon Duckworth,Royals,26,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,475,0,0.5,0.1,0.1,954
2001,Pat Mahomes,Rangers,56,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.887,469,0,0.5,0.1,0.1,291
2000,Brian Boehringer,Padres,7,5,0,0,2,0,0.00%,0.00%,0.25,0.25,0.25,0.25,0.5,0.311,85,0,-0.1,0.6,0.1,984
2008,Matt Cain,Giants,34,72,2,3,3,0,5.60%,47.20%,0.113,0.192,0.113,0.167,0.226,0.178,-3,0,-9.4,7.6,0.1,4732
2005,Cliff Bartosh,Cubs,19,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.89,465,0,0.5,0.1,0.1,1871
2003,R.A. Dickey,Rangers,38,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.891,469,0,0.5,0.1,0.1,1245
2007,Matt Wise,Brewers,56,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,462,0,0.5,0.1,0.1,42
2003,Carlos Silva,Phillies,62,10,0,0,1,0,0.00%,20.00%,0.111,0.286,0.222,0.222,0.333,0.238,39,0,-0.8,1.1,0.1,973
2007,Matt Capps,Pirates,76,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.896,461,0,0.5,0.1,0.1,4788
2000,Omar Olivares,Athletics,21,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.9,458,0,0.5,0.1,0.1,1009771
2000,Mike Stanton,Yankees,69,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.9,458,0,0.5,0.1,0.1,849
2000,Justin Brunette,Cardinals,4,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.9,456,0,0.5,0.1,0.1,1001592
2000,Mike Mohler,Cardinals,22,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.9,456,0,0.5,0.1,0.1,1009033
2000,Hector Ramirez,Brewers,6,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.9,455,0,0.5,0.1,0.1,1010669
2000,T.J. Tucker,Expos,2,1,0,1,0,0,0.00%,0.00%,0,1,1,1,1,0.9,455,0,0.5,0.1,0.1,800
2002,Jose Acevedo,Reds,6,10,0,1,2,0,10.00%,60.00%,0.143,1,0.143,0.25,0.286,0.245,40,0,-0.7,1,0.1,307
2000,Bryan Rekar,Devil Rays,30,3,0,0,1,0,0.00%,33.30%,0.333,0.5,0.333,0.333,0.667,0.415,144,0,0.2,0.3,0.1,625
2000,Vicente Padilla,Diamondbacks,27,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.9,453,0,0.5,0.1,0.1,964
2004,Noah Lowry,Giants,16,36,0,2,0,0,0.00%,27.80%,0.061,0.261,0.182,0.182,0.242,0.183,1,0,-4.6,4,0.1,1833
2000,Scott Linebrink,Astros,8,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.9,451,0,0.5,0.1,0.1,564
2007,Tim Harikkala,Rockies,1,1,0,0,1,0,0.00%,0.00%,0,1,1,1,1,0.896,453,0,0.5,0.1,0.1,1909
2008,Jorge Campillo,Braves,39,51,0,4,2,0,2.00%,31.40%,0.022,0.276,0.178,0.196,0.2,0.179,-1,0,-6.5,5.4,0.1,8686
2005,Dustin Nippert,Diamondbacks,3,5,0,0,0,0,20.00%,60.00%,0,1,0.25,0.4,0.25,0.319,86,0,-0.1,0.5,0.1,4426
2001,Joe Davenport,Rockies,7,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.887,439,0,0.4,0.1,0.1,1003018
2006,John Patterson,Nationals,8,10,0,0,0,0,0.00%,10.00%,0,0.286,0.25,0.25,0.25,0.222,28,0,-0.9,1.2,0.1,71
2002,Jared Fernandez,Reds,14,13,0,2,1,0,7.70%,53.80%,0,0.667,0.2,0.273,0.2,0.226,28,0,-1.2,1.3,0.1,324
2008,Shawn Hill,Nationals,12,15,0,0,0,0,20.00%,13.30%,0,0,0,0.3,0,0.212,20,0,-1.5,1.6,0.1,1882
2007,Brian Lawrence,Mets,6,12,0,1,3,0,0.00%,33.30%,0,0.375,0.25,0.25,0.25,0.224,28,0,-1.1,1.3,0.1,1045
2002,Jason Middlebrook,- - -,15,13,0,2,0,0,7.70%,23.10%,0,0.25,0.182,0.25,0.182,0.207,27,0,-1.2,1.3,0.1,1048
2000,Brian Anderson,Diamondbacks,37,81,0,4,4,0,1.20%,12.30%,0.043,0.213,0.188,0.194,0.232,0.187,-4,0,-11.5,9.3,0.1,44
2006,Glendon Rusch,Cubs,25,18,0,1,0,0,0.00%,22.20%,0.067,0.273,0.2,0.2,0.267,0.201,7,0,-2.2,2.1,0.1,707
2001,John Wasdin,Rockies,18,3,0,1,1,0,0.00%,0.00%,0.333,0.333,0.333,0.333,0.667,0.414,132,0,0.1,0.3,0.1,1768
2006,Dewon Brazelton,Padres,9,4,0,0,1,0,0.00%,50.00%,0.25,0.5,0.25,0.25,0.5,0.31,90,0,-0.1,0.5,0.1,1195
2002,Jeff Weaver,Tigers,17,7,0,0,1,0,0.00%,57.10%,0,0.667,0.286,0.286,0.286,0.255,53,0,-0.4,0.7,0.1,503
2003,Jason Johnson,Orioles,32,6,0,1,0,0,16.70%,50.00%,0,0.5,0.2,0.333,0.2,0.266,60,0,-0.3,0.6,0.1,147
2001,Tom Glavine,Braves,35,78,0,4,2,0,5.10%,26.90%,0.035,0.222,0.14,0.197,0.175,0.174,-3,0,-10.5,8.4,0.1,90
2003,Joe Roa,- - -,24,7,0,0,1,0,0.00%,42.90%,0,0.5,0.286,0.286,0.286,0.255,52,0,-0.4,0.7,0.1,969
2005,Edwin Jackson,Dodgers,10,11,0,0,1,0,9.10%,18.20%,0,0.25,0.2,0.273,0.2,0.226,31,0,-1,1.1,0.1,1841
2001,Bobby Witt,Diamondbacks,14,13,0,0,0,0,0.00%,53.80%,0,0.6,0.25,0.25,0.25,0.222,23,0,-1.3,1.4,0.1,1014170
2007,Jeff Weaver,Mariners,27,3,0,1,0,0,0.00%,0.00%,0,0,0,0.5,0,0.371,128,0,0.1,0.3,0.1,503
2001,Chris Holt,Tigers,30,4,0,0,0,0,0.00%,75.00%,0.25,1,0.25,0.25,0.5,0.31,91,0,0,0.4,0.1,1005983
2004,Mark Hendrickson,Devil Rays,32,6,0,0,0,0,16.70%,66.70%,0,1,0.2,0.333,0.2,0.266,55,0,-0.3,0.7,0.1,1574
2001,Todd Van Poppel,Cubs,59,7,0,1,0,0,0.00%,42.90%,0,0.5,0.286,0.286,0.286,0.253,49,0,-0.5,0.8,0.1,1284
2008,Jeff Karstens,Pirates,9,18,0,3,0,0,11.10%,44.40%,0,0.333,0.143,0.25,0.143,0.201,13,0,-2,1.9,0.1,5879
2002,Joe Borowski,Cubs,73,7,0,1,0,0,0.00%,71.40%,0,1,0.286,0.286,0.286,0.255,51,0,-0.4,0.7,0.1,267
2004,Roger Clemens,Astros,33,78,0,1,7,0,3.80%,30.80%,0.014,0.25,0.167,0.2,0.181,0.175,-7,0,-10.7,8.6,0.1,815
2008,Mike Parisi,Cardinals,12,4,0,0,2,0,0.00%,25.00%,0.25,0.333,0.25,0.25,0.5,0.315,90,0,-0.1,0.4,0,8070
2002,CC Sabathia,Indians,33,6,0,0,0,0,16.70%,16.70%,0,0.25,0.2,0.333,0.2,0.266,58,0,-0.3,0.6,0,404
2003,Matt Ford,Brewers,25,8,0,0,1,0,12.50%,37.50%,0.143,0.25,0.143,0.25,0.286,0.244,41,0,-0.6,0.8,0,1674
2005,Sidney Ponson,Orioles,23,4,0,0,0,0,0.00%,0.00%,0.25,0.25,0.25,0.25,0.5,0.313,90,0,0,0.4,0,161
2000,Jose Silva,Pirates,51,41,0,0,2,0,2.40%,29.30%,0,0.273,0.176,0.222,0.176,0.191,0,0,-5.6,4.7,0,354
2006,Tim Stauffer,Padres,1,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,178,0,0.2,0.2,0,6432
2006,Mark Redman,Royals,29,3,0,0,0,0,33.30%,33.30%,0,0,0,0.5,0,0.354,112,0,0,0.4,0,491
2004,Josh Hancock,- - -,16,21,0,1,1,0,14.30%,57.10%,0,0.4,0.118,0.25,0.118,0.195,9,0,-2.5,2.3,0,1606
2009,Aaron Harang,Reds,26,54,1,1,6,0,1.90%,22.20%,0.085,0.176,0.149,0.167,0.234,0.176,-7,0,-7.1,5.9,0,1451
2001,Courtney Duncan,Cubs,36,5,0,1,1,0,40.00%,20.00%,0,0,0,0.4,0,0.282,67,0,-0.2,0.5,0,276
2009,Trevor Cahill,Athletics,32,2,0,1,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.447,178,0,0.2,0.2,0,6249
2008,Jeremy Sowers,Indians,22,3,0,0,0,0,33.30%,33.30%,0,0,0,0.5,0,0.354,116,0,0.1,0.3,0,9083
2006,Brad Thompson,Cardinals,43,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,173,0,0.2,0.2,0,4911
2006,Jose Garcia,Marlins,5,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,172,0,0.2,0.2,0,3727
2002,James Baldwin,Mariners,30,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.446,184,0,0.2,0.2,0,1064
2004,Jamie Moyer,Mariners,34,2,0,0,2,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,178,0,0.2,0.2,0,1091
2009,Jeremy Affeldt,Giants,74,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.447,179,0,0.2,0.2,0,583
2006,John Rheinecker,Rangers,21,1,0,0,0,0,0.00%,0.00%,0,0,0,1,0,0.737,362,0,0.3,0.1,0,2165
2003,Matt Roney,Tigers,45,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.446,180,0,0.2,0.2,0,1670
2007,Doug Brocail,Padres,67,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.448,179,0,0.2,0.2,0,551
2008,Aaron Laffey,Indians,16,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.448,179,0,0.2,0.2,0,6248
2002,Jeff Williams,Dodgers,10,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.446,182,0,0.2,0.2,0,674
2003,Tim Wakefield,Red Sox,35,1,0,0,0,0,0.00%,0.00%,0,0,0,1,0,0.736,369,0,0.3,0.1,0,219
2004,Brad Halsey,Yankees,8,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,175,0,0.2,0.2,0,4760
2001,Jaret Wright,Indians,7,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.444,176,0,0.2,0.2,0,415
2004,Mike Stanton,Mets,83,2,0,0,1,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,174,0,0.2,0.2,0,849
2006,Curt Schilling,Red Sox,31,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,169,0,0.2,0.2,0,73
2007,Edwin Jackson,Devil Rays,32,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.448,178,0,0.2,0.2,0,1841
2007,Scott Kazmir,Devil Rays,34,2,0,0,1,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.448,178,0,0.2,0.2,0,4897
2009,Tim Wood,Marlins,18,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.447,176,0,0.2,0.2,0,3775
2001,Gary Knotts,Marlins,2,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.444,174,0,0.2,0.2,0,1428
2002,Robb Nen,Giants,68,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.446,179,0,0.2,0.2,0,1123
2005,Hayden Penn,Orioles,8,3,0,0,0,0,33.30%,0.00%,0,0,0,0.5,0,0.351,116,0,0.1,0.3,0,4893
2000,Brad Clontz,Pirates,5,1,0,1,0,0,0.00%,0.00%,0,0,0,1,0,0.751,359,0,0.4,0.1,0,1002360
2007,Roger Clemens,Yankees,18,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.448,177,0,0.2,0.2,0,815
2002,Aaron Sele,Angels,26,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.446,179,0,0.2,0.2,0,34
2003,Scott Eyre,Giants,74,2,0,0,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.446,175,0,0.2,0.2,0,1300
2003,Noah Lowry,Giants,4,2,0,1,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.446,175,0,0.2,0.2,0,1833
2002,Satoru Komiyama,Mets,25,3,0,0,0,0,33.30%,33.30%,0,0,0,0.5,0,0.352,117,0,0.1,0.3,0,881
2009,Guillermo Mota,Dodgers,61,4,0,0,1,0,0.00%,25.00%,0,0.5,0.333,0.333,0.333,0.298,80,0,-0.1,0.4,0,1467
2003,Cal Eldred,Cardinals,63,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.446,174,0,0.2,0.2,0,1653
2008,Eric Hurley,Rangers,5,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.448,175,0,0.2,0.2,0,8364
2005,Juan Padilla,Mets,24,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,176,0,0.2,0.2,0,2532
2001,Alan Benes,Cardinals,9,2,0,1,0,0,0.00%,0.00%,0,0.5,0.5,0.5,0.5,0.444,172,0,0.2,0.2,0,265
2001,Steve Kline,Cardinals,89,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.444,172,0,0.2,0.2,0,1164
2006,Kris Benson,Orioles,30,9,1,1,2,0,0.00%,33.30%,0.333,0,0.111,0.111,0.444,0.219,22,0,-0.9,1.1,0,982
2009,Tim Wakefield,Red Sox,21,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.447,170,0,0.2,0.2,0,219
2005,Jon Garland,White Sox,32,2,0,0,1,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,176,0,0.2,0.2,0,232
2007,Mark Mulder,Cardinals,3,2,0,0,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.448,173,0,0.2,0.2,0,932
