Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2007,Kip Wells,Cardinals,35,54,1,7,5,0,0.00%,35.20%,0.075,0.485,0.321,0.321,0.396,0.315,87,0,-0.9,5.8,0.7,1012
2000,Mike Hampton,Mets,35,84,0,7,8,0,6.00%,23.80%,0,0.364,0.274,0.313,0.274,0.27,56,-0.4,-5.5,9.7,0.6,430
2003,Adam Eaton,Padres,39,68,2,4,3,0,5.90%,36.80%,0.161,0.31,0.196,0.262,0.357,0.273,66,0,-3,7.2,0.6,1029
2000,Omar Daal,- - -,32,54,1,3,6,0,7.40%,14.80%,0.133,0.306,0.267,0.327,0.4,0.322,83,0,-1.2,6.2,0.6,646
2006,Dontrelle Willis,Marlins,35,76,3,8,10,0,7.90%,17.10%,0.172,0.167,0.172,0.243,0.344,0.256,49,0,-5.1,9,0.6,1703
2007,Jake Peavy,Padres,37,84,0,8,7,0,2.40%,16.70%,0.082,0.283,0.233,0.25,0.315,0.247,49,0,-5.6,9.1,0.6,1051
2009,Mike Hampton,Astros,21,41,1,6,7,0,4.90%,19.50%,0.108,0.379,0.324,0.35,0.432,0.341,107,0,0.3,4.4,0.6,430
2000,Livan Hernandez,Giants,34,99,1,6,9,0,1.00%,14.10%,0.067,0.27,0.236,0.244,0.303,0.241,37,0,-8.5,11.4,0.6,1116
2008,Adam Wainwright,Cardinals,25,65,1,5,6,0,3.10%,30.80%,0.083,0.375,0.267,0.286,0.35,0.28,66,-0.5,-3.2,6.9,0.6,2233
2000,Chan Ho Park,Dodgers,34,78,2,6,6,0,2.60%,20.50%,0.143,0.25,0.214,0.236,0.357,0.256,48,0,-5.5,9,0.6,1267
2001,Javier Vazquez,Expos,32,82,0,5,1,0,2.40%,13.40%,0.032,0.308,0.258,0.288,0.29,0.258,46,0,-5.8,8.9,0.6,801
2007,Carlos Zambrano,Cubs,37,86,2,9,5,0,0.00%,33.70%,0.099,0.36,0.247,0.247,0.346,0.257,44,-0.1,-6.3,9.3,0.6,305
